id,artifact_id,group_id,version,permission,api,method
com.livquik+qwcore,com.livquik,qwcore,5.0.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getNetworkInfo (I)Landroid/net/NetworkInfo;,"[Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z, Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z]"
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getDeviceId ()Ljava/lang/String;,[Lcom/cloud/datagrinchsdk/utils/applicationutils/AppUtils; getUniqueID (Landroid/content/Context;)Ljava/lang/String;]
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getAllNetworkInfo ()[Landroid/net/NetworkInfo;,[Lcom/cloud/datagrinchsdk/utils/applicationutils/AppUtils; getNetworkClass (Landroid/content/Context;)Ljava/lang/String;]
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lcom/cloud/datagrinchsdk/utils/applicationutils/AppUtils; isConnectedToInternet (Landroid/content/Context;)Z]
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; isProviderEnabled (Ljava/lang/String;)Z,"[Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLocation ()Landroid/location/Location;, Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLocation ()Landroid/location/Location;, Lcom/cloud/datagrinchsdk/utils/applicationutils/AppUtils; isLocationEnabledInDevice (Landroid/content/Context;)Z, Lcom/cloud/datagrinchsdk/utils/applicationutils/AppUtils; isLocationEnabledInDevice (Landroid/content/Context;)Z]"
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getProviders (Z)Ljava/util/List;,[Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLastKnownLocation ()Landroid/location/Location;]
com.cloud.datagrinch+datagrinch,com.cloud.datagrinch,datagrinch,1.3.6,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLastKnownLocation ()Landroid/location/Location;, Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLocation ()Landroid/location/Location;, Lcom/cloud/datagrinchsdk/utils/applicationutils/DataGrinchLocationTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.4,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; isProviderEnabled (Ljava/lang/String;)Z,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.4,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.4,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
